fold,accuracy,f1,attr,dp_diff,eo_diff,eopp_diff
0,0.8204735376044568,0.5025086839058278,sex,0.16062176165803108,0.5,0.5
1,0.8245125348189415,0.5135135135135135,sex,0.14600174107698047,0.35507246376811596,0.35507246376811596
2,0.824791086350975,0.526711813393529,sex,0.2037106446776612,0.3681818181818182,0.3681818181818182
3,0.8260445682451254,0.5288570350811015,sex,0.13625836335563563,0.12121212121212122,0.12121212121212122
4,0.8204735376044568,0.5220615498702261,sex,0.17029862792574657,0.375,0.375
0,0.8204735376044568,0.5025086839058278,sex,0.16062176165803108,0.5,0.5
1,0.8245125348189415,0.5135135135135135,sex,0.14600174107698047,0.35507246376811596,0.35507246376811596
2,0.824791086350975,0.526711813393529,sex,0.2037106446776612,0.3681818181818182,0.3681818181818182
3,0.8260445682451254,0.5288570350811015,sex,0.13625836335563563,0.12121212121212122,0.12121212121212122
4,0.8204735376044568,0.5220615498702261,sex,0.17029862792574657,0.375,0.375
0,0.8204735376044568,0.5025086839058278,sex,0.16062176165803108,0.5,0.5
1,0.8245125348189415,0.5135135135135135,sex,0.14600174107698047,0.35507246376811596,0.35507246376811596
2,0.824791086350975,0.526711813393529,sex,0.2037106446776612,0.3681818181818182,0.3681818181818182
3,0.8260445682451254,0.5288570350811015,sex,0.13625836335563563,0.12121212121212122,0.12121212121212122
4,0.8204735376044568,0.5220615498702261,sex,0.17029862792574657,0.375,0.375
